Date,Open,High,Low,Close,Volume
2020-10-13,403.0821629595699,436.4825737511104,402.32306797928436,433.9522399902344,3544691
2020-10-14,436.81997184650737,436.81997184650737,421.89099237270705,429.39764404296875,766445
2020-10-15,429.7350133005268,433.91007426544604,417.7159280413855,420.87884521484375,529121
2020-10-16,425.85517835061273,428.469861789035,415.9025422506804,423.9574279785156,336219
2020-10-19,424.2105372643861,426.86738301600155,413.3722673355266,418.47509765625,494255
2020-10-20,416.66165221707007,420.8788754176477,413.287873656608,415.0591125488281,194721
2020-10-21,411.685301503113,415.9025243709181,409.1971297151537,410.75750732421875,223684
2020-10-22,410.546663959892,420.3306265848796,409.5767078062692,416.95684814453125,323802
2020-10-23,416.02905477321923,423.7465678232651,414.2156540058141,420.33062744140625,199486
2020-10-26,421.7223022996588,425.8973633883801,415.3964677651639,417.5472412109375,167538
2020-10-27,417.9268336027271,419.4872113887775,413.6674483190785,415.1856384277344,101416
2020-10-28,415.7338121563062,425.433424448859,415.7338121563062,421.0053405761719,207064
2020-10-29,416.2398996644832,431.80146244029504,416.1133881256322,422.9031066894531,289789
2020-10-30,425.93949632514307,430.1145571296306,419.4028010845097,421.0053405761719,149659
2020-11-02,420.03541593111913,421.72230515172606,414.5530259641467,417.3785705566406,109054
2020-11-03,415.05908264343543,420.7523335540112,414.59517268086444,417.1676940917969,128700
2020-11-04,414.9747144252785,420.45710394512463,410.7574917177045,412.5708923339844,127685
2020-11-05,414.9747954768226,424.8431088359468,414.9747954768226,422.7344970703125,255927
2020-11-06,421.04754171434956,427.6263990968077,417.50506420694245,418.1798095703125,165281
2020-11-09,418.34851171875,422.2705238681361,418.34851171875,421.7222900390625,667759
2020-11-10,421.72229102993566,423.02961983617405,417.5050681196363,418.5172119140625,657706
2020-11-11,418.3906896241736,421.6379565294184,415.2699600026799,417.4629211425781,177344
2020-11-12,417.50509625021743,420.7945251939083,414.97476233354945,416.6616516113281,638121
2020-11-13,416.66163289003634,417.5050774910283,409.9562380161955,410.7996826171875,409114
2020-11-14,413.2878138638589,417.50503645430643,413.03479080438564,415.1434020996094,44438
2020-11-17,417.42073239761834,417.42073239761834,410.75752512569227,413.2456970214844,356710
2020-11-18,413.2878107031958,414.6794889994237,408.22714363336075,409.1549377441406,484828
2020-11-19,415.4878182609272,423.6178579591328,413.43391871841465,422.33416748046875,336804
2020-11-20,422.505380604557,423.40395358638705,418.48313957300303,421.4356384277344,132682
2020-11-23,422.67647729108586,452.6292810713406,421.9490474673365,446.938232421875,1540115
2020-11-24,450.1474962232962,470.68654548063284,449.42009245550014,467.4345397949219,1626681
2020-11-25,470.68647544694596,480.1429841887719,453.5706036125116,461.4866943359375,1430600
2020-11-26,460.4169776885136,475.3933663679727,453.656187048387,468.33306884765625,497409
2020-11-27,471.54232266062775,475.821291105824,465.2094284683367,469.44561767578125,378045
2020-12-01,470.6437524525515,474.9655001604644,463.2411161061994,471.67071533203125,374930
2020-12-02,471.67071480492893,473.25391224362716,458.70541946217753,461.4439697265625,403300
2020-12-03,466.3220094051524,466.3220094051524,456.22360192842825,459.56121826171875,359513
2020-12-04,460.45978174404286,464.4392432724902,457.0793862417652,460.6309509277344,287306
2020-12-07,461.27278490483843,469.78794230850156,458.32028631728184,468.07635498046875,412336
2020-12-08,469.7879735715687,477.0622201997888,466.1936294968064,474.96551513671875,1055404
2020-12-09,476.03526503323206,491.39677302123005,473.4251045885147,483.1811218261719,1608491
2020-12-10,483.52339023426714,484.3791838453012,472.26968335577,483.26666259765625,524546
2020-12-11,484.3791706462108,489.8562705009795,432.1757617956475,487.5028381347656,627470
2020-12-14,488.6581451124362,496.1891183382229,482.3252515853565,492.50921630859375,976365
2020-12-15,492.93718660885327,494.39204639103156,484.37924934133844,491.9530029296875,824871
2020-12-16,492.2953111098359,492.9371563655202,485.83407931598106,486.9893798828125,411452
2020-12-17,484.46478227293545,489.42842741314513,480.9560490716848,483.82293701171875,374857
2020-12-18,483.52341498102646,486.3903028313195,462.1285736101846,469.9591064453125,504741
2020-12-21,467.2633299351467,474.02412062064815,459.56118713401787,462.2569580078125,456395
2020-12-22,462.2569500025303,472.7404219669603,457.8495919159218,470.2158203125,343770
2020-12-23,470.55811330984795,472.78320811985435,467.2633286805003,470.90045166015625,167117
2020-12-24,474.96544678934885,481.811795571898,471.02881713278146,478.6025695800781,768729
2020-12-28,479.2444492593249,483.3522483777048,472.69760687157884,478.7737731933594,308727
2020-12-29,475.00825677066376,480.9560331072126,473.4678386415754,479.24444580078125,263460
2020-12-30,479.24446296730844,483.9513282285945,475.69289828584664,480.1430358886719,158523
2020-12-31,481.8974302902773,482.7960554969757,474.10972821125586,475.650146484375,234984
2021-01-01,475.82124572320237,482.1113078443101,474.28082767655314,475.7356872558594,160404
2021-01-04,476.6770585960564,479.24443952206747,472.9115456778407,475.8640441894531,161032
2021-01-05,474.96544171200657,475.69284536897817,471.54226735732544,472.1841125488281,133676
2021-01-06,475.05103264941874,476.67706147243706,461.6578934113428,464.1824951171875,271580
2021-01-07,468.1191184239625,474.45201221743,467.47727319760423,470.7292785644531,340003
2021-01-08,474.0241272352255,474.06690647135116,468.67541688202743,471.2427978515625,222725
2021-01-11,466.4075869702318,475.47897969496665,466.4075869702318,469.27447509765625,137504
2021-01-12,464.35360496448504,476.4203265452698,464.35360496448504,475.051025390625,323136
2021-01-13,475.05100017747543,476.249132095012,464.01129422372605,472.1841125488281,292424
2021-01-14,472.18415176621824,478.98772180791855,470.2586160317842,475.4361572265625,148407
2021-01-15,478.30309292941826,509.88184734370964,472.9971618410592,495.84686279296875,2314984
2021-01-18,492.9372256989597,508.2559555159938,484.0797808180847,493.5790710449219,534923
2021-01-19,496.36031433423466,500.6392825612539,488.6581715256,490.71209716796875,172859
2021-01-20,487.84517674162225,502.39366929876894,487.84517674162225,497.0877380371094,312641
2021-01-21,503.20663936220365,506.6298137796336,492.46644007421645,496.36029052734375,552692
2021-01-22,496.36032461732555,502.6076079114988,473.8529617236192,476.3775634765625,288026
2021-01-25,482.5392353496246,483.5234189541702,469.87349960071094,471.7562561035156,222478
2021-01-27,472.39812704049615,478.51707294900507,471.28560566626794,475.9068603515625,98512
2021-01-28,471.7562703332971,477.91799533128943,468.97494084833886,472.1413879394531,351385
2021-01-29,475.0938892278861,480.1002614350109,474.1097055882282,475.9924621582031,289191
2021-02-01,479.1160867580876,479.2872559464695,470.986046528224,475.9068603515625,149465
2021-02-02,475.8212929730233,485.0638544042162,473.5962502661904,475.9924621582031,584342
2021-02-03,475.9924406500048,490.28420511395603,475.4789331176686,483.2239074707031,303574
2021-02-04,486.0908137699563,487.58845272083204,479.6295818857355,482.0685729980469,193206
2021-02-05,482.66760501180136,489.68512319094197,478.85931292981365,480.9132385253906,223479
2021-02-08,480.9560508740378,483.78015958727406,473.7245837905304,479.1589050292969,431354
2021-02-09,480.05741772252753,483.43781280019095,475.4788907430231,477.10491943359375,351460
2021-02-10,475.69286416298274,480.9560158346434,475.65008492855816,479.9718322753906,213530
2021-02-11,480.18579792591873,483.65180400824175,477.6184169662717,479.24444580078125,220380
2021-02-12,479.24443631338386,488.0163210851913,479.24443631338386,483.65179443359375,190627
2021-02-15,480.22865094302813,484.3792294539591,479.28724654215085,480.9560546875,398871
2021-02-16,481.04159157913443,484.12248007081047,479.24444580078125,479.24444580078125,90569
2021-02-17,480.1002270923578,489.94185385093556,478.1319121873418,479.80072021484375,121542
2021-02-18,479.2444727718185,487.63124059862486,476.6770916676837,485.3205871582031,221209
2021-02-19,487.8023670144277,502.3080794276089,483.5233988827222,499.7834777832031,618486
2021-02-22,501.9229894661431,509.0260665089042,497.94352799129774,500.8960266113281,270912
2021-02-23,504.91825168879717,513.3906296868054,502.3508707480067,507.5284118652344,293762
2021-02-24,507.57124884722083,511.67910060663473,497.2161654346684,506.3731689453125,70648
2021-02-25,507.48570924382693,515.7441400768636,502.2653881028496,505.85968017578125,316025
