Date,Open,High,Low,Close,Volume
2018-12-21,1102.563535296742,1149.061577964368,1076.0280030937513,1100.4212646484375,26515
2018-12-24,1090.635047589852,1091.608828882343,1045.4029541015625,1045.4029541015625,893
2018-12-26,1044.8669023658192,1091.6083854166666,994.2302957274012,1077.2451171875,3489
2018-12-27,1032.256443123234,1091.6083387009642,1032.256443123234,1052.6571044921875,560
2018-12-28,1042.91965380781,1090.537577741617,1042.91965380781,1070.964599609375,6582
2018-12-31,1090.5374190774437,1090.5374190774437,1023.4438811179303,1071.0130615234375,9313
2019-01-01,1071.159456285976,1089.6613014400064,1051.683829808049,1064.3917236328125,1498
2019-01-02,1064.3424747548206,1070.964232118206,1038.0503916638963,1052.6571044921875,2783
2019-01-03,1085.76582781436,1085.76582781436,1033.1816531937543,1052.0242919921875,799
2019-01-04,1071.1593207963017,1071.1593207963017,1032.2080727673451,1061.4215087890625,1547
2019-01-07,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-08,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-09,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-10,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-11,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-14,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-15,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-16,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-17,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-18,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-21,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-22,1061.4215087890625,1061.4215087890625,1061.4215087890625,1061.4215087890625,0
2019-01-23,879.324462890625,879.324462890625,879.324462890625,879.324462890625,147
2019-01-24,923.2907104492188,923.2907104492188,923.2907104492188,923.2907104492188,110
2019-01-25,969.4478149414062,969.4478149414062,969.4478149414062,969.4478149414062,150
2019-01-28,1017.3090688606654,1017.8934326171876,1017.3090688606654,1017.8934326171876,3724
2019-01-29,1068.7735760372418,1068.7735760372418,974.7549560546876,1012.732421875,38592
2019-01-30,1022.324048340546,1022.324048340546,976.7024282810322,1007.0843505859376,7091
2019-01-31,973.781187642912,1012.7324351486284,968.9122817046974,1004.3092041015624,12186
2019-02-01,1002.99463275282,1030.4552149560066,1002.99463275282,1019.7923583984376,81285
