,Open,High,Low,Close,Volume
2005-01-03,26.07715388502888,26.42971248055265,25.65165237843009,26.010290145874023,7692338.0
2005-01-04,26.13794018599808,27.912889241200983,26.016368659475845,27.49954605102539,23537148.0
2005-01-05,27.71837393243637,27.71837393243637,23.88886023872509,25.414587020874023,32880576.0
2005-01-06,25.53007922961244,26.210879689503177,23.706501801213143,24.697311401367188,19587689.0
2005-01-07,24.8006520214782,25.359883450271543,24.24142059268485,25.037715911865234,12558638.0
2005-01-10,25.40850711432288,26.2291190409617,24.484563568337503,24.77025604248047,13976520.0
2005-01-11,24.922225200321787,25.165368279351902,23.53022809288763,23.761215209960938,15173250.0
2005-01-12,23.463361067178163,23.70650411227081,22.06528498191184,22.478628158569336,16804271.0
2005-01-13,22.85549981831525,24.48456289916565,22.733928302429245,24.259654998779297,13155361.0
2005-01-14,23.09864366761672,24.855357498319968,23.09864366761672,23.42080879211425,14937344.0
2005-01-17,23.694343920580376,25.40850583081443,23.220213827622967,24.928298950195312,21519726.0
2005-01-18,25.055954675066808,26.289907568909783,24.934383137544547,26.077157974243164,34564154.0
2005-01-19,25.894793219593648,26.016364727743344,25.07418375159161,25.256542205810547,16079230.0
2005-01-20,24.92222289536618,25.347724436310664,24.61829288269309,24.873594284057617,11423904.0
2005-01-24,25.04378895552543,25.04378895552543,23.29923373375956,23.481592178344727,13976048.0
2005-01-25,23.706502980263263,25.007321785377226,22.97707149582728,24.87967109680176,15343624.0
2005-01-27,24.983007999160986,24.983007999160986,24.19278954800293,24.42377662658692,14046556.0
2005-01-28,24.55751124662725,25.52400679993014,24.55751124662725,25.268705368041992,15739793.0
2005-01-31,25.28693702062144,25.864403557407723,25.05595231309823,25.469295501708984,10039461.0
2005-02-01,25.22615406132956,25.651655621727137,24.928303207450178,25.159290313720703,15192635.0
2005-02-02,25.1410494870778,25.590865295045248,24.94653505854896,25.04987144470215,12019505.0
2005-02-03,25.104578028759995,25.748908234586548,25.07418455475183,25.45105743408203,7799468.0
2005-02-04,25.499684012686323,25.894791991430463,24.630445982651462,24.861433029174805,10259004.0
2005-02-07,24.922222412389303,25.76106713320026,24.472406574507684,24.63652992248535,5911069.0
2005-02-08,24.73986374760948,25.165365277144897,24.472406392583785,25.06202888488769,9167646.0
2005-02-09,25.16536264917985,25.87047980460281,25.16536264917985,25.69420051574707,7151596.0
2005-02-10,26.06500010048151,26.131866235321585,25.40851140198423,25.590869903564453,9902495.0
2005-02-11,25.70774715553023,26.29830416985861,25.609320986475502,25.80617332458496,6299624.0
2005-02-14,25.836937282089952,26.0830027540268,25.473988901500764,25.849239349365234,11824961.0
2005-02-15,26.082997263135542,26.14451482449088,25.412468390104,25.603168487548828,5979125.0
2005-02-16,25.83692962072241,25.843079446214897,24.69272189654078,24.914180755615234,8410964.0
2005-02-17,25.09873302552959,25.22176573488971,24.63120872996113,25.12949180603028,8494534.0
2005-02-18,25.34479828809148,25.461681170745383,24.914182601662937,25.06797409057617,4346562.0
2005-02-21,25.160247558612856,25.22176269956856,24.61890128993421,24.803451538085938,3116563.0
2005-02-22,24.85267150937316,25.89845090947207,24.606606052013767,25.8184814453125,10342626.0
2005-02-23,26.08299831191606,26.08299831191606,25.49243886720077,25.633928298950195,7897138.0
2005-02-24,25.775416189906743,25.898448909083427,25.049521940442904,25.270980834960938,8286146.0
2005-02-25,25.590867102813625,25.95996769026529,25.0987362030686,25.658536911010746,4933605.0
2005-02-28,25.590865146248664,27.116475644102568,25.28328456374573,26.88886451721192,14205656.0
2005-03-01,26.93192663207064,26.99344419905226,26.464402291053123,26.79043960571289,9451899.0
2005-03-02,26.612033493278474,27.620903915064147,26.612033493278474,27.473264694213867,8429830.0
2005-03-03,27.55939102066967,27.6578195971669,26.968834037541345,27.110321044921875,6709487.0
