Date,Open,High,Low,Close,Volume
2019-10-14,119.42311968406491,141.89603084043952,119.2323508336771,138.8341522216797,226353035
2019-10-15,140.40804792671932,142.5828453758588,132.78672350402516,136.04891967773438,52650205
2019-10-16,136.21106254359444,137.5464592671195,133.20639808356407,133.6642608642578,17381530
2019-10-17,133.55930674045092,139.83569908505115,131.08880150729044,138.1759796142578,25164650
2019-10-18,138.30950969280218,150.69059138170283,136.60210904619228,148.63980102539062,48666150
2019-10-22,150.12785456174046,165.35144930114956,148.99276012026158,161.14492797851562,46733940
2019-10-23,165.20835842423415,173.5832383945143,165.20835842423415,171.7518310546875,45116345
2019-10-24,176.45436901308426,181.9008953623856,164.56928032014147,172.085693359375,59356565
2019-10-25,172.64849183997185,174.74697888509095,167.1161063175784,171.51339721679688,19247675
2019-10-27,173.79307877367327,176.46388645254996,170.7407333784132,173.1635284423828,6711285
2019-10-29,173.0299948139623,173.1063052708436,167.62161671706096,168.47055053710938,10118740
2019-10-30,168.06991862140003,175.51002021538977,168.0413040216129,169.87271118164062,16381015
2019-10-31,171.69457188945762,173.16350793376438,167.3068158970576,168.2034454345703,9198590
2019-11-01,168.83301265031534,173.2112211801458,168.47054163795906,169.88226318359375,9411150
2019-11-04,170.7407500771187,171.3130712623986,167.9268691180791,168.53733825683594,4195835
2019-11-05,169.15732049439902,173.02998499427295,166.2194335674907,168.16531372070312,10190335
2019-11-06,168.8330025364307,170.74072007921524,168.06991260837094,168.699462890625,4950450
2019-11-07,169.596101957882,170.1684085199152,167.8982344141415,168.16531372070312,3875510
2019-11-08,167.83148808186124,169.97767083112987,166.41024748737485,167.2877960205078,4743845
2019-11-11,169.02377752474806,179.96453919475522,168.64223982421197,177.97097778320312,27509375
2019-11-13,182.18703103638128,187.1280126405215,172.30505327337053,177.80882263183594,30872350
2019-11-14,174.5561861202205,180.6608775178325,171.12228811235602,173.08724975585938,14336980
2019-11-15,175.5100281495233,179.28731559421425,172.07613047253156,177.07435607910156,15970190
2019-11-18,178.19990244912384,178.92482987483044,174.94724054934952,175.920166015625,5720000
2019-11-19,176.03464320765852,176.2731079059743,171.69458278736522,172.18104553222656,5522965
2019-11-20,173.4115200344094,174.9376852696552,169.78685394926575,170.87425231933594,6322985
2019-11-21,171.31307848023266,172.8392441140596,167.89826158824792,168.79489135742188,6485590
2019-11-22,169.59610492516217,169.59610492516217,166.4292865851951,167.09698486328125,3738365
2019-11-25,167.68840067835274,169.7868873867937,166.56283958676616,168.28932189941406,3437825
2019-11-26,169.21455922752833,170.74073925505266,167.02069545071782,167.63116455078125,3971740
2019-11-27,168.0890236672278,169.97766029418193,167.87917353592928,168.49917602539062,2933130
2019-11-28,168.82348705335238,169.36717904212009,167.51669050104329,168.3465576171875,2078740
2019-11-29,168.28929484822822,175.2620146432664,167.49760488179058,171.16995239257812,8998765
2019-12-02,172.07612397228436,172.2382927785902,167.5262279155582,168.0794677734375,2332100
